@relation .a/dee/dee
@attribute Hydroelectric real [27881.8, 206035.0]
@attribute Nuclear real [114760.0, 187105.0]
@attribute Coal real [33537.0, 234833.0]
@attribute Fuel real [0.0, 67986.5]
@attribute Gas real [0.0, 84452.2]
@attribute Special real [5307.0, 16357.0]
@attribute Consume real [0.765853, 5.11875]
@inputs Hydroelectric, Nuclear, Coal, Fuel, Gas, Special
@outputs Consume
@data
83333.9, 165600.0, 206695.0, 47673.2, 61947.3, 12218.0, 4.60696
38334.0, 168946.0, 208367.0, 17073.7, 52944.3, 11267.0, 3.57325
49802.3, 167906.0, 211070.0, 57442.3, 69723.9, 11303.0, 4.44441
54706.1, 166132.0, 220491.0, 54348.0, 72922.6, 11669.0, 4.06552
47781.7, 167791.0, 218489.0, 26475.6, 51444.5, 13543.0, 4.1751
63067.4, 168602.0, 220343.0, 45839.3, 59585.0, 12808.0, 4.63285
63669.0, 167259.0, 227493.0, 51963.9, 63232.0, 12377.0, 4.98802
62703.8, 166242.0, 218338.0, 64833.4, 67793.4, 11876.0, 4.74766
46935.2, 163778.0, 212371.0, 19091.0, 50645.9, 12971.0, 3.89468
37298.1, 162842.0, 197343.0, 13794.5, 35518.3, 12382.0, 3.10319
61937.9, 168412.0, 203308.0, 67986.5, 68160.7, 11391.0, 4.79927
57967.4, 167394.0, 204395.0, 67145.7, 67629.3, 11386.0, 4.65411
47754.1, 167997.0, 211844.0, 60663.6, 67510.9, 11230.0, 4.20809
44003.1, 171258.0, 198570.0, 13893.0, 38694.6, 11737.0, 4.08326
55984.1, 145383.0, 201794.0, 46229.0, 66247.5, 12088.0, 4.14189
44447.3, 173617.0, 215120.0, 28877.2, 65568.3, 12374.0, 3.8337
42457.3, 173163.0, 212528.0, 27041.8, 61670.4, 12555.0, 3.56624
30619.1, 160290.0, 196883.0, 7369.53, 27411.6, 12457.0, 2.31852
41484.2, 167288.0, 221540.0, 26155.5, 71400.4, 12277.0, 3.60711
59340.5, 161366.0, 197941.0, 37713.3, 55034.2, 11503.0, 4.00095
59207.0, 169197.0, 206089.0, 37655.0, 64712.3, 11517.0, 4.81435
57859.6, 163891.0, 206241.0, 42565.0, 57384.0, 12161.0, 4.61312
42157.7, 141079.0, 202522.0, 15424.0, 60504.9, 12521.0, 4.02609
48814.5, 149600.0, 234833.0, 19233.6, 73929.8, 11834.0, 4.19821
44340.4, 144773.0, 215065.0, 17371.9, 72090.0, 12045.0, 2.35832
51058.0, 143745.0, 219861.0, 16270.3, 70849.4, 12197.0, 4.12121
62675.5, 119361.0, 215805.0, 33587.8, 67083.6, 13399.0, 3.97221
66003.2, 116531.0, 217574.0, 42111.6, 75585.7, 13833.0, 3.60649
71488.7, 118654.0, 209610.0, 51569.6, 81724.9, 14420.0, 4.41967
78067.6, 116713.0, 210747.0, 47577.8, 77916.3, 14248.0, 4.21058
62028.9, 116130.0, 214557.0, 20450.1, 62717.9, 14275.0, 3.84052
58407.3, 138041.0, 200249.0, 34287.9, 75368.9, 14210.0, 4.19397
30652.9, 150981.0, 159443.0, 6478.94, 39141.9, 14161.0, 2.39823
61498.5, 133950.0, 205949.0, 22332.5, 70825.9, 14309.0, 4.05117
44469.3, 128978.0, 221285.0, 25178.4, 77888.2, 14540.0, 3.6535
62679.0, 135227.0, 227581.0, 17403.7, 63833.6, 14119.0, 4.03702
37298.2, 126262.0, 192405.0, 0.0, 35531.5, 12075.0, 2.65464
75205.1, 123541.0, 201792.0, 17931.5, 59511.6, 12030.0, 3.88321
70135.7, 125062.0, 215592.0, 36865.4, 70654.0, 14438.0, 4.13404
66471.2, 148880.0, 198275.0, 27739.2, 60409.1, 14326.0, 3.64404
63326.9, 152798.0, 196286.0, 9348.34, 30025.9, 14353.0, 3.3186
53530.5, 145518.0, 168958.0, 9517.96, 26047.9, 14718.0, 2.4989
74297.0, 183421.0, 151230.0, 8528.64, 6736.05, 12361.0, 2.2336
93318.4, 163295.0, 204819.0, 17091.6, 56626.6, 11740.0, 3.05575
106148.0, 152550.0, 200310.0, 17163.3, 59514.9, 12382.0, 2.98392
55640.1, 181868.0, 162385.0, 3944.69, 20227.8, 13991.0, 2.38016
93406.6, 175094.0, 202439.0, 13732.6, 59207.7, 13811.0, 2.84326
76963.5, 177090.0, 173704.0, 8027.85, 37416.5, 14315.0, 2.62054
72621.5, 173577.0, 135842.0, 6204.55, 22526.3, 13720.0, 1.83238
113736.0, 170646.0, 192576.0, 12966.9, 56314.6, 13701.0, 2.71846
122083.0, 168587.0, 203287.0, 13701.2, 52674.7, 13938.0, 2.42807
126836.0, 169283.0, 203663.0, 11297.8, 56377.0, 11922.0, 2.93009
119110.0, 175974.0, 196978.0, 9048.11, 52981.6, 12628.0, 2.75706
142101.0, 176171.0, 184799.0, 18058.9, 41375.0, 12095.0, 2.32902
157055.0, 161870.0, 160801.0, 16028.6, 35061.9, 13884.0, 1.8952
159795.0, 168571.0, 193359.0, 17329.1, 55332.7, 14084.0, 2.82287
166691.0, 169387.0, 127840.0, 6266.98, 3069.61, 14254.0, 1.96399
170717.0, 172028.0, 190312.0, 23401.5, 62375.0, 13227.0, 3.2984
145505.0, 170738.0, 164125.0, 5584.4, 5297.98, 15940.0, 2.07865
129342.0, 177287.0, 124973.0, 6030.14, 5889.54, 13023.0, 1.42735
120149.0, 164574.0, 117496.0, 5215.38, 6711.5, 14318.0, 1.87193
101577.0, 168244.0, 115724.0, 4408.39, 2264.44, 15389.0, 1.79736
116309.0, 178601.0, 155197.0, 10920.5, 22042.7, 15109.0, 2.40335
154571.0, 182180.0, 33537.0, 4963.88, 0.0, 5630.0, 0.765853
191691.0, 177717.0, 56528.3, 6157.88, 0.0, 8324.0, 1.61709
144906.0, 180711.0, 136896.0, 1453.89, 0.0, 7449.0, 1.3288
151017.0, 178514.0, 187563.0, 24604.4, 19834.4, 7070.0, 2.13306
163063.0, 177445.0, 132722.0, 6257.35, 11992.7, 7475.0, 1.61606
149087.0, 148350.0, 144864.0, 9066.5, 1781.42, 10208.0, 1.78434
175491.0, 168194.0, 156442.0, 18313.2, 21957.7, 10262.0, 1.54912
172963.0, 139915.0, 167767.0, 6955.2, 21323.7, 8678.0, 2.26839
158342.0, 138540.0, 168346.0, 5623.44, 27861.8, 9344.0, 2.17487
105836.0, 148476.0, 131649.0, 4112.91, 4661.19, 9301.0, 2.17032
126910.0, 142827.0, 173434.0, 5434.28, 30677.9, 9356.0, 4.14838
86463.3, 155651.0, 122897.0, 211.997, 4902.04, 11191.0, 1.8312
69119.8, 160912.0, 135130.0, 9.9189, 1766.62, 11333.0, 1.72036
108444.0, 154760.0, 126614.0, 25.3421, 2742.79, 11538.0, 1.81688
137928.0, 156219.0, 149833.0, 4968.03, 14658.2, 11288.0, 2.09066
142590.0, 152259.0, 175601.0, 2018.07, 13172.5, 11793.0, 2.22464
116123.0, 150104.0, 168863.0, 4583.57, 19575.1, 10758.0, 2.5444
108789.0, 148989.0, 173104.0, 9750.08, 24408.3, 12616.0, 2.64659
62772.2, 144800.0, 181667.0, 3807.21, 22768.6, 12297.0, 2.31615
66095.1, 121080.0, 195422.0, 23690.4, 69462.0, 10814.0, 4.0713
99429.8, 125937.0, 204207.0, 50159.4, 53067.9, 11064.0, 4.33837
71805.8, 149303.0, 199553.0, 22398.3, 50286.2, 11053.0, 3.3829
73390.9, 166138.0, 212488.0, 55017.9, 61546.4, 12365.0, 3.98641
60805.1, 166566.0, 224252.0, 42200.3, 63524.2, 10889.0, 4.02768
59599.9, 163995.0, 220774.0, 46064.4, 70375.6, 13094.0, 4.18805
43291.7, 168962.0, 220257.0, 33063.7, 71041.5, 12464.0, 4.21788
60416.8, 163176.0, 201606.0, 36483.9, 60373.0, 11462.0, 4.55163
63515.7, 154576.0, 211435.0, 47265.7, 53683.7, 12412.0, 4.58351
53308.4, 130997.0, 197042.0, 5577.08, 46182.3, 12981.0, 2.10912
66328.2, 122245.0, 220162.0, 38774.4, 84452.2, 13849.0, 4.31132
77360.1, 114760.0, 215188.0, 53279.7, 78219.7, 14507.0, 4.99235
34111.4, 116452.0, 211378.0, 6378.88, 41674.1, 14065.0, 2.89857
65358.8, 116582.0, 209820.0, 43004.8, 71963.8, 14257.0, 4.75986
47263.1, 125408.0, 218817.0, 46716.1, 74618.8, 13956.0, 4.00831
50043.0, 134704.0, 219685.0, 38468.4, 74637.6, 14372.0, 3.99862
60221.8, 141099.0, 221512.0, 20197.2, 73884.1, 14264.0, 3.96876
74174.5, 152797.0, 211751.0, 26115.9, 57083.6, 14617.0, 3.38268
77131.6, 155512.0, 211638.0, 30836.0, 60790.9, 14926.0, 3.99721
85104.8, 174706.0, 206714.0, 10804.5, 53137.2, 14231.0, 2.70608
103814.0, 174475.0, 201098.0, 9147.51, 56099.0, 14473.0, 3.07069
83162.4, 179865.0, 142319.0, 6576.19, 6939.88, 13068.0, 2.37434
140675.0, 173080.0, 179470.0, 16057.0, 27923.0, 13167.0, 2.50409
160345.0, 166614.0, 189754.0, 20854.1, 53318.4, 13523.0, 2.75503
173467.0, 169555.0, 185398.0, 15964.6, 42709.1, 13868.0, 2.83895
139186.0, 179138.0, 122708.0, 8628.45, 6884.8, 12382.0, 2.01027
130802.0, 179072.0, 127273.0, 5733.01, 5344.81, 12929.0, 1.43698
